"caso_id","intervencion_fecha_hora","victima_embarazo","victima_edad","victima_genero","victima_nacionalidad","victima_discapacidad","violencia_tipo","agresor_relacion_victima"
"416858","2019-07-01 09:30:00","NO","37","Masculino","Argentina","NO","Física y Sexual","Ex espos@/pareja"
"416896","2019-07-01 04:30:00","NO","24","Femenino","Boliviana","NO","Física","Ex espos@/pareja"
"214893","2019-07-01 15:00:00","NO","49","Femenino","Boliviana","SI","Física","Espos@/compañer@ actual"
"416845","2019-07-04 09:00:00","NO","88","Masculino","Argentina","NO","Psicológica","Espos@/compañer@ actual"
"417037","2019-07-04 14:00:00","NO","30","Femenino","Argentina","SI","Física","Ex espos@/pareja"
"417044","2019-07-05 10:40:00","NO","10","Masculino","Argentina","NO","Psicológica","Padre"
"417044","2019-07-05 10:40:00","NO","7","Masculino","Argentina","NO","Física","Padre"
"417044","2019-07-05 10:40:00","NO","34","Femenino","Argentina","NS/NC","Física","Espos@/compañer@ actual"
"417044","2019-07-05 10:40:00","NO","2","Femenino","Argentina","NS/NC","Física","Padre"
"417044","2019-07-05 10:40:00","SI","15","Femenino","Boliviana","NO","Física","Padre"
"417079","2019-07-06 15:00:00","NO","16","Femenino","Argentina","NO","Psicológica","Madre"
"417079","2019-07-06 15:00:00","NO","16","Femenino","Argentina","NO","Física","Madre"
"72269","2019-07-07 15:00:00","NO","13","Femenino","Argentina","NS/NC","Sexual","Otro no conviviente"
"417111","2019-07-08 13:00:00","NO","35","Masculino","Boliviana","NO","Económica y Física","Espos@/compañer@ actual"
"417105","2019-07-08 00:20:00","NO","8","Masculino","Argentina","NS/NC","Económica y Física","Padre"
"417105","2019-07-08 00:20:00","NO","30","Femenino","Argentina","NO","Económica y Física","Ex espos@/pareja"
"417112","2019-07-08 12:00:00","NO","2","Femenino","Argentina","NO","Psicológica","Padre"
"417122","2019-07-08 22:15:00","NO","24","Femenino","Argentina","NO","Económica y Física","Espos@/compañer@ actual"
"417111","2019-07-08 13:00:00","NO","3","Femenino","Boliviana","NO","Física","Padre"
"417122","2019-07-08 22:15:00","NO","0","Femenino","Argentina","NO","Física","Padre"
"417112","2019-07-08 12:00:00","NS/NC","44","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"417044","2019-07-10 15:00:00","NO","7","Masculino","Argentina","NO","Física","Padre"
"417044","2019-07-10 15:00:00","NO","10","Masculino","Argentina","NS/NC","Psicológica","Padre"
"417063","2019-07-10 08:45:00","NO","0","Femenino","Argentina","NO","Psicológica","Padre"
"417044","2019-07-10 15:00:00","NO","15","Femenino","Boliviana","NO","Física","Padre"
"417063","2019-07-10 08:45:00","NS/NC","20","Femenino","Argentina","NO","Física","Ex espos@/pareja"
"417063","2019-07-10 08:45:00","NO","3","Femenino","Argentina","NO","Psicológica","Pareja de la madre/padre"
"417044","2019-07-10 15:00:00","NO","2","Femenino","Argentina","NS/NC","Psicológica","Padre"
"417044","2019-07-10 15:00:00","NO","34","Femenino","Boliviana","NO","Económica y Física","Espos@/compañer@ actual"
"417044","2019-07-11 09:00:00","NO","10","Masculino","Argentina","NO","Física","Padre"
"417044","2019-07-11 09:00:00","NO","7","Masculino","Argentina","NO","Física","Padre"
"417044","2019-07-11 09:00:00","NO","2","Femenino","Argentina","NS/NC","Física","Padre"
"417044","2019-07-11 00:00:00","NO","10","Masculino","Argentina","NS/NC","Psicológica","Padre"
"417044","2019-07-11 00:00:00","NS/NC","7","Masculino","Argentina","NS/NC","Física","Padre"
"417044","2019-07-11 09:00:00","NO","15","Femenino","Boliviana","NO","Física","Padre"
"417044","2019-07-11 00:00:00","NO","15","Femenino","Boliviana","NS/NC","Física","Padre"
"417044","2019-07-11 00:00:00","NO","2","Femenino","Argentina","NS/NC","Psicológica","Padre"
"417044","2019-07-11 09:00:00","NO","34","Femenino","Argentina","NS/NC","Física","Espos@/compañer@ actual"
"417044","2019-07-11 00:00:00","NO","34","Femenino","Boliviana","NS/NC","Económica y Física","Espos@/compañer@ actual"
"417214","2019-07-12 13:00:00","NO","16","Femenino","Argentina","NO","Física","Madre"
"417247","2019-07-13 16:50:00","NO","79","Femenino","Argentina","NS/NC","Física","Hij@"
"417247","2019-07-13 16:50:00","NS/NC","22","Femenino","Argentina","NS/NC","Psicológica","Padre"
"417274","2019-07-14 21:00:00","NO","0","Femenino","Argentina","NS/NC","Psicológica","Padre"
"417274","2019-07-14 21:00:00","NO","28","Femenino","Peruana","NO","Física","Espos@/compañer@ actual"
"417280","2019-07-14 18:00:00","NO","27","Femenino","Argentina","NO","Física","Ex espos@/pareja"
"417291","2019-07-15 03:00:00","NO","35","Femenino","Peruana","NS/NC","Física","Espos@/compañer@ actual"
"417345","2019-07-16 14:00:00","NO","10","Masculino","Argentina","NO","Física","Padre"
"417345","2019-07-16 14:00:00","NS/NC","31","Femenino","Argentina","SI","Física y Sexual","Ex espos@/pareja"
"417345","2019-07-16 14:00:00","NO","12","Femenino","Argentina","NO","Física","Padre"
"417328","2019-07-16 09:30:00","NO","69","Femenino","Argentina","SI","Psicológica","Espos@/compañer@ actual"
"417424","2019-07-18 16:30:00","NO","32","Femenino","Argentina","NO","Física","Ex espos@/pareja"
"417424","2019-07-18 16:30:00","NO","4","Femenino","Argentina","NO","Psicológica","Padre"
"417345","2019-07-19 12:15:00","NO","10","Masculino","Argentina","NO","Psicológica","Padre"
"417345","2019-07-19 12:15:00","NO","12","Femenino","Argentina","NO","Psicológica","Padre"
"417345","2019-07-19 12:15:00","NO","31","Femenino","Argentina","SI","Física y Sexual","Espos@/compañer@ actual"
"417424","2019-07-19 08:30:00","NO","32","Femenino","Argentina","NO","Física","Ex espos@/pareja"
"413588","2019-07-19 23:30:00","NO","22","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"417461","2019-07-20 20:00:00","NO","13","Masculino","Otra","NS/NC","Física","Otro conviviente"
"417461","2019-07-20 20:00:00","NO","0","Femenino","Argentina","NS/NC","Física","Padre"
"417461","2019-07-20 20:00:00","NS/NC","35","Femenino","Otra","NS/NC","Física","Espos@/compañer@ actual"
"417510","2019-07-22 19:00:00","NO","10","Masculino","Argentina","NS/NC","Física","Padre"
"417510","2019-07-22 19:00:00","NO","30","Masculino","Argentina","NO","Económica y Física","Espos@/compañer@ actual"
"417461","2019-07-22 09:30:00","NO","13","Masculino","Otra","NO","Física","Pareja de la madre/padre"
"417487","2019-07-22 23:45:00","NO","52","Femenino","Argentina","NS/NC","Económica y Física","Ex espos@/pareja"
"417461","2019-07-22 09:30:00","NO","0","Femenino","Argentina","NO","Psicológica","Padre"
"417510","2019-07-22 19:00:00","NO","6","Femenino","Argentina","NO","Física","Padre"
"417461","2019-07-22 09:30:00","NO","35","Femenino","Otra","NO","Física","Espos@/compañer@ actual"
"417510","2019-07-23 08:30:00","NO","10","Masculino","Argentina","NS/NC","Física","Padre"
"417510","2019-07-23 08:30:00","NS/NC","30","Masculino","Argentina","NO","Física","Espos@/compañer@ actual"
"374339","2019-07-23 04:00:00","NS/NC","22","Femenino","Argentina","NO","Física","Ex espos@/pareja"
"417510","2019-07-23 08:30:00","NO","6","Femenino","Argentina","NO","Física","Padre"
"374339","2019-07-23 13:30:00","NO","22","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"417547","2019-07-24 22:30:00","NO","0","Masculino","Argentina","NS/NC","Psicológica","Padre"
"417515","2019-07-24 09:30:00","NO","6","Masculino","Argentina","SI","Sexual","Pareja de la madre/padre"
"417515","2019-07-24 09:30:00","NO","5","Femenino","Argentina","NO","Sexual","Pareja de la madre/padre"
"417547","2019-07-24 22:30:00","NS/NC","33","Femenino","Argentina","NS/NC","Física","Espos@/compañer@ actual"
"361347","2019-07-27 11:30:00","NO","3","Masculino","Argentina","NO","Psicológica","Padre"
"361347","2019-07-27 11:30:00","NO","30","Femenino","Argentina","NO","Física","Ex espos@/pareja"
"417628","2019-07-28 11:30:00","SI","33","Femenino","Boliviana","NO","Física","Espos@/compañer@ actual"
"417671","2019-07-30 15:00:00","NO","5","Masculino","Argentina","NO","Física","Madre"
"417671","2019-07-30 15:00:00","NO","16","Masculino","Argentina","NO","Física","Madre"
"417671","2019-07-30 15:00:00","NO","11","Femenino","Argentina","NO","Física","Madre"
"417684","2019-07-31 13:00:00","NO","30","Femenino","Argentina","SI","Física y Sexual","Espos@/compañer@ actual"
"417685","2019-07-31 14:00:00","NS/NC","20","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"417745","2019-08-03 02:00:00","NO","11","Masculino","Argentina","NS/NC","Física","Pareja de la madre/padre"
"417745","2019-08-03 02:00:00","SI","28","Femenino","Boliviana","NO","Física","Espos@/compañer@ actual"
"417746","2019-08-03 09:00:00","NO","4","Femenino","Boliviana","NO","Física","Otro no conviviente"
"417756","2019-08-04 20:40:00","NO","43","Femenino","Argentina","NS/NC","Física","Espos@/compañer@ actual"
"417801","2019-08-05 15:00:00","NO","10","Masculino","Argentina","NO","Psicológica","Padre"
"417801","2019-08-05 15:00:00","NO","12","Femenino","Argentina","NO","Psicológica","Padre"
"417801","2019-08-05 15:00:00","NS/NC","31","Femenino","NS/NC","NO","Psicológica","Espos@/compañer@ actual"
"417819","2019-08-06 15:30:00","NO","49","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"417813","2019-08-06 11:00:00","NO","37","Femenino","Otra","NO","Física","Espos@/compañer@ actual"
"417845","2019-08-07 16:45:00","NO","10","Femenino","Argentina","NS/NC","Psicológica","Pareja de la madre/padre"
"417845","2019-08-07 16:45:00","NS/NC","40","Femenino","Argentina","NS/NC","Psicológica","Espos@/compañer@ actual"
"417840","2019-08-07 11:30:00","NS/NC","30","Femenino","Brasileña","NO","Física","Ex espos@/pareja"
"417864","2019-08-08 03:00:00","NO","10","Masculino","Paraguaya","SI","Psicológica","Pareja de la madre/padre"
"417864","2019-08-08 03:00:00","NO","3","Femenino","Argentina","NO","Psicológica","Padre"
"417852","2019-08-08 09:00:00","NS/NC","18","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"417864","2019-08-08 03:00:00","NO","28","Femenino","Paraguaya","NO","Psicológica","Espos@/compañer@ actual"
"68692","2019-08-09 17:00:00","NS/NC","25","Femenino","Paraguaya","NO","Física","Pareja de la madre/padre"
"68692","2019-08-09 17:00:00","NO","7","Masculino","Argentina","NS/NC","Psicológica","Padre"
"68692","2019-08-09 17:00:00","NO","4","Masculino","Argentina","NS/NC","Psicológica","Padre"
"68692","2019-08-09 17:00:00","NO","1","Masculino","Argentina","NS/NC","Psicológica","Padre"
"68692","2019-08-09 17:00:00","NO","11","Masculino","Paraguaya","NS/NC","Psicológica","Pareja de la madre/padre"
"417939","2019-08-10 16:00:00","NO","7","Masculino","Argentina","NS/NC","Psicológica","Padre"
"417939","2019-08-10 16:00:00","NO","9","Masculino","Argentina","NS/NC","Psicológica","Padre"
"417939","2019-08-10 16:00:00","NO","14","Masculino","Argentina","NS/NC","Psicológica","Padre"
"417939","2019-08-10 16:00:00","NO","11","Masculino","Argentina","NS/NC","Psicológica","Padre"
"417939","2019-08-10 16:00:00","NS/NC","33","Femenino","Argentina","NS/NC","Física y Sexual","Espos@/compañer@ actual"
"417953","2019-08-11 23:45:00","NO","1","Masculino","Argentina","NO","Psicológica","Padre"
"417953","2019-08-11 23:45:00","NO","5","Masculino","Argentina","NO","Psicológica","Padre"
"417953","2019-08-11 23:45:00","NO","24","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"418013","2019-08-12 16:30:00","NO","17","Masculino","Argentina","NS/NC","Física","Padre"
"417972","2019-08-12 02:45:00","NO","17","Masculino","Boliviana","NO","Económica y Física","Pareja de la madre/padre"
"417972","2019-08-12 02:45:00","NO","12","Masculino","Boliviana","NO","Económica y Física","Pareja de la madre/padre"
"417972","2019-08-12 09:00:00","NO","15","Masculino","Argentina","NS/NC","Física","Pareja de la madre/padre"
"417972","2019-08-12 09:00:00","NO","1","Masculino","Argentina","NS/NC","Psicológica","Padre"
"418013","2019-08-12 16:30:00","NO","6","Masculino","Argentina","SI","Física","Padre"
"418013","2019-08-12 16:30:00","NO","5","Masculino","Argentina","NS/NC","Física","Padre"
"417972","2019-08-12 02:45:00","NO","1","Masculino","Argentina","NS/NC","Económica y Física","Padre"
"417972","2019-08-12 09:00:00","NO","5","Masculino","Argentina","NS/NC","Física","Pareja de la madre/padre"
"417972","2019-08-12 02:45:00","NO","5","Masculino","Argentina","NO","Económica y Física","Pareja de la madre/padre"
"417972","2019-08-12 02:45:00","NO","15","Masculino","Boliviana","NO","Económica y Física","Pareja de la madre/padre"
"417972","2019-08-12 09:00:00","NO","17","Masculino","Boliviana","NS/NC","Física","Pareja de la madre/padre"
"417972","2019-08-12 09:00:00","NO","12","Masculino","Argentina","NS/NC","Física","Pareja de la madre/padre"
"417972","2019-08-12 09:00:00","NO","9","Femenino","Argentina","NS/NC","Física","Pareja de la madre/padre"
"417972","2019-08-12 02:45:00","NO","7","Femenino","Boliviana","NO","Económica y Física","Pareja de la madre/padre"
"417972","2019-08-12 09:00:00","NO","7","Femenino","Argentina","NS/NC","Física","Pareja de la madre/padre"
"417972","2019-08-12 02:45:00","NO","9","Femenino","Argentina","NO","Económica y Física","Pareja de la madre/padre"
"418013","2019-08-12 16:30:00","NO","15","Femenino","Argentina","NS/NC","Física","Padre"
"417972","2019-08-12 09:00:00","NS/NC","37","Femenino","Boliviana","NO","Física","Espos@/compañer@ actual"
"417972","2019-08-12 02:45:00","NS/NC","37","Femenino","Boliviana","NO","Económica y Física","Espos@/compañer@ actual"
"418013","2019-08-12 16:30:00","NO","42","Femenino","Argentina","NS/NC","Física","Espos@/compañer@ actual"
"409220","2019-08-15 04:00:00","NO","1","Masculino","Argentina","NO","Física","Padre"
"417772","2019-08-15 15:00:00","NO","42","Femenino","Peruana","NO","Económica y Física","Ex espos@/pareja"
"417772","2019-08-15 15:00:00","NO","5","Femenino","Argentina","NO","Psicológica","Padre"
"417772","2019-08-15 15:00:00","NO","15","Femenino","Argentina","NO","Psicológica","Padre"
"417772","2019-08-15 15:00:00","NO","5","Femenino","Argentina","NO","Psicológica","Padre"
"417772","2019-08-15 15:00:00","NO","42","Femenino","Peruana","NO","Económica y Física","Ex espos@/pareja"
"417772","2019-08-15 15:00:00","NO","15","Femenino","Argentina","NO","Psicológica","Padre"
"409220","2019-08-15 04:00:00","NO","20","Femenino","Argentina","SI","Física","Espos@/compañer@ actual"
"409220","2019-08-16 09:00:00","NO","20","Femenino","Argentina","SI","Física","Espos@/compañer@ actual"
"418140","2019-08-17 21:30:00","NS/NC","21","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"418138","2019-08-17 21:50:00","NO","46","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"418159","2019-08-18 22:15:00","NO","45","Masculino","Argentina","NO","Psicológica","Ex espos@/pareja"
"418190","2019-08-20 21:30:00","NO","14","Femenino","Argentina","NO","Física","Padre"
"418200","2019-08-21 16:00:00","NO","69","Femenino","Paraguaya","NS/NC","Física","Otro conviviente"
"418200","2019-08-22 23:00:00","NO","69","Femenino","Paraguaya","NS/NC","Física","Otro conviviente"
"177597","2019-08-22 15:00:00","NO","7","Femenino","Argentina","NS/NC","Física","Padre"
"418200","2019-08-22 09:30:00","NO","69","Femenino","Paraguaya","NS/NC","Física","Otro conviviente"
"177597","2019-08-22 15:00:00","NO","8","Femenino","Argentina","NS/NC","Física","Padre"
